cod,nombre,Lat,Long,ocupacion,intensidad
6032,DIEGO DE LEON O-E (EN RT) - LAGASCA-VELAZQUEZ,40.434950,-3.683968,5,260
6033,PRINCIPE VERGARA N-S - LOPEZ HOYOS-FRANCISCO SILVELA,40.440609,-3.678898,55,680
6034,FRANCISCO SILVELA S-N - AV. AMERICA-SAN FDO. DEL JARAMA,40.437908,-3.677755,100,0
6035,PRINCIPE VERGARA S-N - MARIA MOLINA-FRANCISCO SILVELA,40.437768,-3.679030,10,920
6036,FRANCISCO SILVELA N-S - GTA. LOPEZ  HOYOS-PRINCIPE DE VERGARA,40.439954,-3.680259,48,240
6037,(MICRO) FRANCISCO SILVELA E-O - PRINCIPE VERGARA-LOPEZ HOYOS,40.439688,-3.679604,36,620
6038,LOPEZ DE HOYOS E-O - PRINCIPE VERGARA- GTA.LOPEZ HOYOS),40.441187,-3.679201,18,760
6039,JOSE ORTEGA Y GASSET 13 E-O (EN RT) - CLAUDIO COELLO-SERRANO,40.430488,-3.686236,3,220
6040,JOSE ORTEGA Y GASSET 16 O-E(EN RT) - LAGASCA-VELAZQUEZ,40.430275,-3.684325,2,220
6041,VELAZQUEZ S-N (LATERAL) - GENERAL ORAA-MARIA MOLINA,40.436456,-3.683080,2,120
6042,VELAZQUEZ S-N (ENTRADA TUNEL) - GENERAL ORAA-MARIA MOLINA,40.436483,-3.683156,42,1180
6043,(MICRO) PRINCIPE VERGARA S-N (DETRAS GRUPO 7) -,40.438768,-3.678906,6,160
6301,(MICRO) PRINCIPE VERGARA S-N (DELANTE GRUPO 7) -,40.439121,-3.678845,100,0
6302,(MICRO) FRANCISCO SILVELA E-O (DELANTE GRUPO 4) -,40.439116,-3.679026,16,600
6303,(MICRO) FRANCISCO SILVELA E-O (DETRAS GRUPO 4) -,40.438982,-3.678888,6,380
6304,(MICRO) FRANCISCO SILVELA E-O (DELANTE GRUPO 3) -,40.438856,-3.678753,17,540
6305,(MICRO) PRINCIPE VERGARA N-S (DELANTE GRUPO 9) -,40.439241,-3.679106,49,540
6306,(MICRO) PRINCIPE VERGARA N-S(DETRAS GRUPO 10) -,40.439029,-3.679111,71,460
6307,(MICRO) PRINCIPE VERGARA N-S(DELANTE GRUPO 10) -,40.438756,-3.679094,71,460
6308,(MICRO) PRINCIPE VERGARA S-N(DELANTE GRUPO 8) -,40.439755,-3.678794,100,0
7001,FRANCISCO SILVELA N-S - MARIA DE MOLINA-DIEGO DE LEON,40.436131,-3.676272,9,1960
7002,FRANCISCO SILVELA S-N - JOSE ORTEGA GASSET-AV. DE LOS TOREROS,40.431317,-3.671344,38,1939
7003,CONDE PEÑALVER 14 S-N  - HERMOSILLA-AYALA,40.426346,-3.675547,3,660
7004,(AFOROS) FRANCISCO SILVELA 46 S-N - FERRER DEL RIO-JOSE PICON,40.433811,-3.673578,33,2060
7005,(AFOROS) FRANCISCO SILVELA N-S (EN RT) - MALDONADO-JUAN BRAVO,40.433125,-3.673101,4,1460
7006,AZCONA 7 N-S (EN ARQUETA) - ARDEMANS-FRANCISCO SILVELA,40.433195,-3.671645,70,1040
7007,JUAN BRAVO 64 O-E - ALCANTARA-FRANCISCO SILVELA,40.432264,-3.673400,4,220
7008,JUAN BRAVO 69 E-O - ALCANTARA-CONDE PEÑALVER,40.433110,-3.675079,51,240
7009,CONDE PEÑALVER 64 S-N (EN RT) - PADILLA-JUAN BRAVO,40.431465,-3.675111,3,620
7010,CONDE PEÑALVER 60 N-S (EN RT) - PADILLA-JOSE ORTEGA GASSET,40.430798,-3.675271,51,220
7011,CONDE PEÑALVER S-N (EN RT) - D. RAMON CRUZ-JOSE ORTEGA GASSET,40.429007,-3.675325,5,720
7012,JOSE ORTEGA GASSET O-E (EN RT) - G. DIAZ PORLIER-CONDE PEÑALVER,40.429891,-3.676359,1,120
7013,JOSE ORTEGA GASSET 67 E-O (EN RT) - ALCANTARA-CONDE PEÑALVER,40.429884,-3.674115,100,0
7014,JOSE ORTEGA GASSET E-O (RT) - MONTESA-MARTIRES CONCEPCIONISTAS,40.429662,-3.671702,4,200
7015,JUAN BRAVO 69 E-O - ALCANTARA-CONDE PEÑALVER,40.432430,-3.673675,48,440
8001,GOYA 54 O-E - GENERAL PARDIÑAS-GENERAL DIAZ PORLIER,40.424863,-3.678129,1,320
8002,PRINCIPE DE VERGARA N-S - HERMOSILLA-GOYA,40.425786,-3.680150,6,720
8003,DIEGO DE LEON 38 O-E - CASTELLO-PRINCIPE DE VERGARA,40.434770,-3.680209,2,140
8004,(AFOROS)JOSE ORTEGA Y GASSET 45 E-O - GRAL. DIAZ PORLIER-PRINCIPE VERGARA,40.430059,-3.677679,25,700
