"";"identif";"velocidad_media";"carga_media";"intensidad_total"
"611";"10028";0;29,9064572425829;725597
"612";"13037";0;29,9031798766018;435161
"613";"12036";0;29,8965758211041;222823
"614";"02008";0;29,8833922261484;366797
"615";"14041";0;29,84269271015;1418331
"616";"97056";0;29,8321653819201;3015549
"617";"98010";0;29,7709090909091;413034
"618";"36020";0;29,7379117028732;476847
"619";"97107";0;29,7165492957746;2477649
"620";"43014";0;29,6880446148484;3295604
"621";"09006";0;29,6872778962331;823251
"622";"41032";0;29,6848874598071;2011035
"623";"15011";0;29,682379349046;1442016
"624";"34005";0;29,6787061994609;492341
"625";"65038";0;29,673845085099;1801081
"626";"97528";0;29,6716309480567;741664
"627";"01018";0;29,6688927943761;2747773
"628";"11014";0;29,6442274154168;392592
"629";"81009";0;29,6438022284123;1018427
"630";"13026";0;29,6106071179344;466442
"631";"16065";0;29,6086457536343;154550
"632";"06043";0;29,5837742504409;423091
"633";"32030";0;29,5779560516219;831032
"634";"43016";0;29,5681422098292;3789162
"635";"14022";0;29,5401050788091;1607055
"636";"02010";0;29,5343325200418;1798876
"637";"32009";0;29,4973840251134;609833
